iter	Passed	Remaining
304	1206	2749
305	1209	2743
306	1213	2739
307	1216	2733
308	1220	2728
309	1223	2723
310	1227	2718
311	1230	2712
312	1233	2707
313	1237	2702
314	1240	2696
315	1243	2691
316	1246	2686
317	1250	2680
318	1253	2675
319	1256	2670
320	1260	2665
321	1264	2661
322	1267	2656
323	1270	2651
324	1274	2646
325	1277	2641
326	1281	2637
327	1284	2632
328	1288	2628
329	1292	2623
330	1296	2619
331	1299	2614
332	1303	2609
333	1306	2605
334	1309	2599
335	1313	2595
336	1316	2590
337	1320	2586
338	1324	2581
339	1327	2576
340	1331	2572
341	1334	2567
342	1337	2562
343	1341	2558
344	1345	2554
345	1349	2550
346	1352	2545
347	1356	2541
348	1359	2536
349	1363	2532
350	1367	2527
351	1370	2523
352	1374	2518
353	1377	2514
354	1381	2510
355	1385	2505
356	1389	2502
357	1393	2498
358	1397	2494
359	1401	2491
360	1404	2486
361	1408	2482
362	1412	2478
363	1415	2473
364	1419	2469
365	1423	2465
366	1427	2462
367	1431	2458
368	1434	2453
369	1438	2449
370	1442	2445
371	1445	2440
372	1449	2436
373	1453	2432
374	1457	2428
375	1461	2424
376	1464	2420
377	1468	2415
378	1471	2411
379	1475	2406
380	1479	2402
381	1482	2398
382	1486	2394
383	1489	2390
384	1493	2385
385	1497	2381
386	1500	2376
387	1504	2373
388	1508	2368
389	1511	2364
390	1515	2360
391	1519	2356
392	1523	2352
393	1526	2348
394	1530	2344
395	1534	2340
396	1537	2335
397	1541	2331
398	1545	2327
399	1548	2323
400	1552	2319
401	1556	2315
402	1560	2310
403	1563	2307
404	1567	2302
405	1571	2298
406	1574	2294
407	1578	2290
408	1582	2286
409	1586	2282
410	1589	2277
411	1592	2273
412	1596	2269
413	1600	2265
414	1604	2261
415	1607	2256
416	1611	2252
417	1615	2248
418	1618	2244
419	1622	2240
420	1626	2236
421	1630	2232
422	1633	2228
423	1637	2225
424	1641	2221
425	1645	2217
426	1649	2213
427	1653	2209
